ticketCapacity,buyerCount,concurrency,httpRequestsCount,errorCount,durationSeconds,throughput,p50Millis,p99Millis,invariantsPassed
100,50000,10,66666,2,12.253338417,5440.6397449620035,1.523291,2.517708,true
100,50000,25,66666,1,11.105372,6003.040690577497,2.92475,4.389042,true
100,50000,50,66666,1,10.62885725,6272.170039728401,4.855541,7.99075,true
100,50000,75,66666,2,10.424690875,6395.009770493554,6.875542,11.801625,true
100,50000,100,66666,2,10.442582041,6384.053267501641,8.917708,15.682458,true
100,50000,150,66666,1,16.597016875,4016.745931036477,15.587042,114.896292,true
100,50000,200,66666,2,27.247529333,2446.680547995944,51.825083,91.858916,true
100,50000,300,66666,5,28.194167209,2364.531624779441,76.157917,159.632917,true
100,50000,400,66666,1,27.376837542,2435.124213953667,98.043667,174.501125,true
100,50000,500,66666,1,28.158973083,2367.4869038547176,121.708834,258.055959,true
100,50000,750,66666,3,27.922119334,2387.5694821926586,170.990291,333.166791,true
100,50000,1000,66666,2,28.975698542,2300.7555763795744,235.7715,447.884958,true
