ticketCapacity,buyerCount,concurrency,httpRequestsCount,errorCount,durationSeconds,throughput,p50Millis,p99Millis,invariantsPassed
100,50000,10,66666,3,13.744786916,4850.275264900294,1.609542,4.57625,true
100,50000,20,66666,1,13.095349541,5090.8148569289115,2.51575,6.206292,true
100,50000,30,66666,0,12.207551291,5461.046069832974,3.492917,6.76625,true
100,50000,40,66666,3,12.151882459,5486.063597547837,4.261875,8.931542,true
100,50000,50,66666,5,11.349922791,5873.696343808019,5.055334,9.442375,true
100,50000,60,66666,4,11.52234,5785.803925244351,5.912875,11.727709,true
100,50000,70,66666,3,12.186214833,5470.607642618441,7.216583,17.295333,true
100,50000,80,66666,3,11.346825291,5875.299768022135,7.843,14.337583,true
100,50000,90,66666,2,11.980639625,5564.477530973226,9.174708,17.2805,true
100,50000,100,66666,2,12.259233125,5438.023677357877,10.333584,19.5855,true
100,50000,110,66666,4,13.685697,4871.217008530877,12.387916,25.598084,true
100,50000,120,66666,1,13.731836167,4854.849649328765,13.585333,26.786875,true
100,50000,130,66666,2,14.586834791,4570.285531795601,15.751208,30.966375,true
100,50000,140,66666,3,14.953034541,4458.359259266557,17.154042,33.870708,true
100,50000,150,66666,4,15.589946667,4276.217322867125,19.006,37.28575,true
100,50000,160,66666,3,15.765382583,4228.63191863715,20.85625,39.508416,true
100,50000,170,66666,1,15.816980167,4214.8374276329705,22.012291,42.939625,true
100,50000,180,66666,0,15.813187916,4215.848211893215,23.052083,44.843542,true
100,50000,190,66666,1,16.264717083,4098.8109205834135,24.677959,48.1815,true
100,50000,200,66666,1,15.90635525,4191.154978762341,25.534625,49.872167,true
100,50000,225,66666,5,15.764089834,4228.978691571189,28.525666,58.438625,true
100,50000,250,66666,6,16.23056625,4107.435253529741,32.586292,65.136334,true
100,50000,275,66666,3,16.925362416,3938.822600157669,37.085375,82.249041,true
100,50000,300,66666,3,16.413840166,4061.5723880444175,39.676875,76.626542,true
