ticketCapacity,buyerCount,concurrency,httpRequestsCount,errorCount,durationSeconds,throughput,p50Millis,p99Millis,invariantsPassed
100,50000,10,66666,6,12.018759041,5546.828900769207,1.443375,3.676834,true
100,50000,20,66666,1,10.801127208,6172.133585337549,2.093875,4.158833,true
100,50000,30,66666,1,10.569368459,6307.472415083869,3.121458,5.630459,true
100,50000,40,66666,3,10.432156541,6390.433247238214,3.732083,6.798125,true
100,50000,50,66666,2,10.28931,6479.151663231062,4.708792,7.753833,true
100,50000,60,66666,2,10.230453667,6516.42656034327,5.300583,9.201667,true
100,50000,70,66666,4,10.251965917,6502.752792950005,6.421875,10.837292,true
100,50000,80,66666,2,10.333838916,6451.232745343096,7.167375,12.578917,true
100,50000,90,66666,3,10.377713375,6423.958495577548,8.224,13.787041,true
100,50000,100,66666,3,10.45531275,6376.279848730494,8.933,15.460708,true
100,50000,110,66666,3,10.53907425,6325.603029127535,9.853958,17.169708,true
100,50000,120,66666,1,10.614673958,6280.5508924516325,10.790458,18.837166,true
100,50000,130,66666,2,10.771316666,6189.215494001149,11.820459,21.161875,true
100,50000,140,66666,4,10.702320625,6229.11631373406,12.549833,22.205916,true
100,50000,150,66666,3,11.471551917,5811.419455915627,14.36,31.918,true
100,50000,160,66666,2,11.03791775,6039.726106855616,14.874334,26.533375,true
100,50000,170,66666,1,11.020204292,6049.43413330327,15.59425,27.096125,true
100,50000,180,66666,2,11.05687825,6029.369094301097,16.424333,28.806416,true
100,50000,190,66666,4,11.313029459,5892.85126867272,17.605667,32.537791,true
100,50000,200,66666,2,11.322273791,5888.039914119755,18.767416,33.40775,true
100,50000,225,66666,0,11.555983208,5768.959577048218,21.22775,39.42775,true
100,50000,250,66666,3,11.950942375,5578.304865686377,24.217167,60.606333,true
100,50000,275,66666,3,11.669389125,5712.895446872845,26.468,48.327125,true
100,50000,300,66666,3,12.482259875,5340.859801639084,30.716958,70.915208,true
