ticketCapacity,buyerCount,concurrency,httpRequestsCount,errorCount,durationSeconds,throughput,p50Millis,p99Millis,invariantsPassed
100,50000,10,66666,1,11.953898459,5576.925404599508,1.445625,3.513541,true
100,50000,20,66666,5,10.772604833,6188.475399726935,2.077083,4.135083,true
100,50000,30,66666,2,10.290129708,6478.635536359752,3.048125,4.924125,true
100,50000,40,66666,3,10.434508333,6388.99293310862,3.720584,6.623667,true
100,50000,50,66666,1,10.388089833,6417.5417301668995,4.72825,7.916958,true
100,50000,60,66666,2,12.273988083,5431.48645323644,6.406084,12.074833,true
100,50000,70,66666,1,12.10321125,5508.124961464257,7.325583,13.585292,true
100,50000,80,66666,1,12.121600583,5499.768742875101,8.203084,15.149459,true
100,50000,90,66666,3,12.222497542,5454.368043103837,9.166458,17.107209,true
100,50000,100,66666,2,12.238432292,5447.266317237227,10.070208,18.774791,true
100,50000,110,66666,2,12.58704025,5296.400001580992,11.328375,23.315875,true
100,50000,120,66666,1,12.504270708,5331.458471812221,12.171459,23.582125,true
100,50000,130,66666,3,12.555604167,5309.660858472968,13.398875,28.189,true
100,50000,140,66666,2,12.477301333,5342.982286055846,14.578083,29.647458,true
100,50000,150,66666,2,12.6622985,5264.92089883997,15.368458,30.0675,true
100,50000,160,66666,5,13.324415042,5003.296564229015,16.879125,36.632166,true
100,50000,170,66666,4,12.457381875,5351.52575950073,16.877291,31.584834,true
100,50000,180,66666,3,12.525581292,5322.387715656686,18.029291,33.706833,true
100,50000,190,66666,2,12.577273709,5300.512777446784,19.096333,35.651334,true
100,50000,200,66666,3,11.3386635,5879.5289233162275,18.594041,33.261541,true
100,50000,225,66666,5,11.899149375,5602.585352871074,21.882084,42.396542,true
100,50000,250,66666,4,13.173744,5060.520380538745,26.188542,52.230875,true
100,50000,275,66666,2,13.047174583,5109.612014149286,28.845458,54.117417,true
100,50000,300,66666,2,12.476085709,5343.502886639235,31.043333,57.861583,true
